seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,converged,convergenceTime,victimsFound
42,100.0,30,100.0,1.0,1.0,false,NaN,4
42,100.0,25,150.0,1.0,2.0,true,54.42846574876971,5
42,100.0,25,150.0,2.0,2.0,true,54.42846574876971,5
42,100.0,25,150.0,1.5,1.5,true,62.918876439748715,5
42,100.0,25,150.0,1.5,2.0,true,54.42846574876971,5
42,100.0,30,150.0,2.0,1.0,true,58.37008992528801,5
42,100.0,30,150.0,1.5,1.0,true,58.37008992528801,5
42,100.0,30,150.0,1.0,1.0,true,67.23445306990695,5
42,100.0,30,150.0,1.0,1.5,true,58.37008992528801,5
42,100.0,25,150.0,1.5,1.0,false,NaN,4
42,100.0,25,150.0,2.0,1.5,true,62.918876439748715,5
42,100.0,25,150.0,2.0,1.0,false,NaN,4
42,100.0,25,150.0,1.0,1.5,false,NaN,4
42,100.0,30,150.0,1.5,1.5,true,58.37008992528801,5
42,100.0,30,150.0,1.0,2.0,true,58.37008992528801,5
42,100.0,25,150.0,1.0,1.0,false,NaN,4
42,100.0,30,150.0,2.0,1.5,true,78.52090603364348,5
42,100.0,30,150.0,2.0,2.0,true,78.52090603364348,5
43,100.0,20,50.0,1.0,1.0,false,NaN,3
42,100.0,30,150.0,1.5,2.0,true,78.52090603364348,5
43,100.0,20,50.0,1.0,1.5,false,NaN,3
43,100.0,20,50.0,1.5,1.5,false,NaN,3
43,100.0,20,50.0,1.0,2.0,false,NaN,3
43,100.0,20,50.0,1.5,1.0,false,NaN,3
43,100.0,20,50.0,2.0,1.0,false,NaN,4
43,100.0,20,50.0,1.5,2.0,false,NaN,3
43,100.0,25,50.0,1.0,1.0,false,NaN,3
43,100.0,25,50.0,2.0,1.0,false,NaN,3
43,100.0,20,50.0,2.0,1.5,false,NaN,3
43,100.0,25,50.0,1.0,2.0,false,NaN,4
43,100.0,25,50.0,1.5,1.5,false,NaN,3
43,100.0,25,50.0,1.5,2.0,false,NaN,3
43,100.0,25,50.0,2.0,1.5,false,NaN,4
43,100.0,25,50.0,2.0,2.0,false,NaN,3
43,100.0,25,50.0,1.0,1.5,false,NaN,4
43,100.0,20,50.0,2.0,2.0,false,NaN,3
43,100.0,25,50.0,1.5,1.0,false,NaN,4
43,100.0,30,50.0,1.5,1.0,false,NaN,3
43,100.0,30,50.0,1.0,1.0,false,NaN,3
43,100.0,30,50.0,2.0,1.0,false,NaN,3
43,100.0,30,50.0,1.0,1.5,false,NaN,3
43,100.0,30,50.0,1.5,1.5,false,NaN,3
43,100.0,30,50.0,1.0,2.0,false,NaN,3
43,100.0,30,50.0,1.5,2.0,false,NaN,4
43,100.0,30,50.0,2.0,2.0,false,NaN,3
43,100.0,20,100.0,1.5,1.0,false,NaN,3
43,100.0,20,100.0,1.0,1.0,false,NaN,3
43,100.0,30,50.0,2.0,1.5,false,NaN,3
43,100.0,20,100.0,2.0,1.5,false,NaN,3
43,100.0,20,100.0,2.0,1.0,false,NaN,3
43,100.0,20,100.0,1.5,2.0,false,NaN,4
43,100.0,20,100.0,1.0,1.5,false,NaN,3
43,100.0,20,100.0,1.0,2.0,false,NaN,4
43,100.0,20,100.0,1.5,1.5,false,NaN,3
43,100.0,20,100.0,2.0,2.0,false,NaN,4
43,100.0,25,100.0,1.0,1.0,false,NaN,4
43,100.0,25,100.0,1.5,1.0,false,NaN,3
43,100.0,25,100.0,2.0,1.0,false,NaN,3
43,100.0,25,100.0,1.5,1.5,false,NaN,3
43,100.0,25,100.0,1.0,1.5,false,NaN,3
43,100.0,25,100.0,2.0,1.5,false,NaN,3
43,100.0,25,100.0,1.5,2.0,false,NaN,3
43,100.0,25,100.0,2.0,2.0,false,NaN,4
43,100.0,30,100.0,1.0,1.0,false,NaN,4
43,100.0,25,100.0,1.0,2.0,false,NaN,3
43,100.0,30,100.0,2.0,1.0,false,NaN,3
43,100.0,30,100.0,1.5,1.5,false,NaN,4
43,100.0,30,100.0,2.0,1.5,false,NaN,4
43,100.0,30,100.0,1.0,2.0,false,NaN,3
43,100.0,30,100.0,1.5,2.0,false,NaN,3
43,100.0,30,100.0,1.5,1.0,false,NaN,3
43,100.0,30,100.0,1.0,1.5,false,NaN,4
43,100.0,30,100.0,2.0,2.0,false,NaN,3
43,100.0,20,150.0,1.0,1.0,false,NaN,4
43,100.0,20,150.0,1.5,1.0,false,NaN,4
43,100.0,20,150.0,2.0,1.0,false,NaN,4
43,100.0,20,150.0,1.5,1.5,false,NaN,4
43,100.0,20,150.0,1.0,1.5,false,NaN,4
43,100.0,25,150.0,1.0,1.0,false,NaN,3
43,100.0,20,150.0,1.0,2.0,false,NaN,4
43,100.0,20,150.0,2.0,1.5,false,NaN,4
43,100.0,25,150.0,1.5,1.0,false,NaN,3
43,100.0,20,150.0,1.5,2.0,false,NaN,4
43,100.0,25,150.0,1.5,1.5,false,NaN,3
43,100.0,25,150.0,2.0,1.5,false,NaN,3
43,100.0,20,150.0,2.0,2.0,false,NaN,4
43,100.0,25,150.0,2.0,1.0,false,NaN,3
43,100.0,25,150.0,1.0,1.5,false,NaN,3
43,100.0,25,150.0,1.0,2.0,false,NaN,3
43,100.0,25,150.0,1.5,2.0,false,NaN,3
43,100.0,25,150.0,2.0,2.0,false,NaN,3
43,100.0,30,150.0,1.0,1.0,false,NaN,4
43,100.0,30,150.0,1.5,1.0,false,NaN,4
43,100.0,30,150.0,1.0,1.5,false,NaN,3
43,100.0,30,150.0,1.5,1.5,false,NaN,4
43,100.0,30,150.0,2.0,1.0,false,NaN,4
43,100.0,30,150.0,2.0,1.5,false,NaN,4
43,100.0,30,150.0,1.5,2.0,false,NaN,4
43,100.0,30,150.0,1.0,2.0,false,NaN,4
43,100.0,30,150.0,2.0,2.0,false,NaN,4
44,100.0,20,50.0,2.0,1.0,true,88.25718094150473,5
44,100.0,20,50.0,1.5,1.0,false,NaN,4
44,100.0,20,50.0,1.0,1.0,false,NaN,3
44,100.0,20,50.0,1.0,1.5,false,NaN,3
44,100.0,20,50.0,1.5,1.5,false,NaN,4
44,100.0,20,50.0,1.0,2.0,false,NaN,4
44,100.0,20,50.0,2.0,1.5,false,NaN,4
44,100.0,25,50.0,1.5,1.0,false,NaN,4
44,100.0,20,50.0,2.0,2.0,false,NaN,3
44,100.0,25,50.0,1.0,1.5,false,NaN,3
44,100.0,25,50.0,2.0,1.0,false,NaN,3
44,100.0,25,50.0,1.5,1.5,true,95.88558618511598,5
44,100.0,25,50.0,2.0,1.5,false,NaN,3
44,100.0,20,50.0,1.5,2.0,false,NaN,4
44,100.0,25,50.0,1.0,1.0,false,NaN,4
44,100.0,30,50.0,1.5,1.0,true,73.94301103332482,5
44,100.0,25,50.0,2.0,2.0,false,NaN,4
44,100.0,30,50.0,2.0,2.0,true,50.575151385021364,5
44,100.0,30,50.0,2.0,1.5,true,66.2639452738516,5
44,100.0,30,50.0,1.0,1.0,false,NaN,4
44,100.0,20,100.0,1.0,1.0,true,40.15411055849793,5
44,100.0,25,50.0,1.5,2.0,true,94.54517435794055,5
44,100.0,20,100.0,1.0,1.5,true,28.68510968306706,5
44,100.0,25,50.0,1.0,2.0,false,NaN,4
44,100.0,20,100.0,1.5,1.5,true,28.68510968306706,5
44,100.0,20,100.0,1.0,2.0,true,23.087250376743455,5
44,100.0,20,100.0,2.0,1.5,true,28.68510968306706,5
44,100.0,20,100.0,1.5,1.0,true,49.20914686398119,5
44,100.0,20,100.0,1.5,2.0,true,23.087250376743455,5
44,100.0,20,100.0,2.0,2.0,true,23.087250376743455,5
44,100.0,30,50.0,1.5,1.5,false,NaN,4
44,100.0,30,50.0,1.0,1.5,false,NaN,4
44,100.0,20,100.0,2.0,1.0,true,49.20914686398119,5
44,100.0,30,50.0,1.0,2.0,false,NaN,4
44,100.0,25,100.0,1.0,1.0,true,22.2496507311654,5
44,100.0,30,50.0,1.5,2.0,false,NaN,4
44,100.0,30,50.0,2.0,1.0,false,NaN,4
44,100.0,25,100.0,1.5,1.0,true,22.2496507311654,5
44,100.0,25,100.0,2.0,1.0,true,22.2496507311654,5
44,100.0,25,100.0,1.0,1.5,true,22.2496507311654,5
44,100.0,25,100.0,1.5,1.5,true,22.2496507311654,5
44,100.0,25,100.0,2.0,1.5,true,22.2496507311654,5
44,100.0,25,100.0,1.0,2.0,true,22.2496507311654,5
44,100.0,25,100.0,2.0,2.0,true,22.2496507311654,5
44,100.0,30,100.0,1.5,1.0,true,22.218677764329804,5
44,100.0,30,100.0,2.0,1.0,true,22.218677764329804,5
