seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,victimIdx,uavIdx,foundTime,x,y
40,100.0,30,50.0,1.0,2.0,4,0,80.77553351666026,459.33607136727795,411.8215105565725
40,100.0,20,100.0,1.0,2.0,3,0,34.669247025942894,498.79533806064467,183.5757899808681
40,100.0,20,100.0,1.5,2.0,0,0,10.000768554341645,463.7091657830143,173.94983411973146
40,100.0,30,50.0,1.5,2.0,3,0,66.40363215030406,498.79533806064467,183.5757899808681
40,100.0,20,100.0,2.0,1.5,1,0,52.94468047730108,507.078922744844,189.28912608156344
40,100.0,20,100.0,2.0,2.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,1.5,1.0,1,0,60.64876983080476,507.078922744844,189.28912608156344
40,100.0,20,100.0,2.0,2.0,0,0,10.000768554341645,463.7091657830143,173.94983411973146
40,100.0,20,100.0,1.5,1.5,0,0,51.113068765064746,463.7091657830143,173.94983411973146
40,100.0,25,100.0,1.0,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,2.0,1.0,4,0,80.85841772488405,459.33607136727795,411.8215105565725
40,100.0,25,100.0,1.5,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,25,100.0,2.0,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,1.5,2.0,3,0,34.669247025942894,498.79533806064467,183.5757899808681
40,100.0,25,100.0,1.0,1.5,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,1.0,1.0,4,1,95.34547024175355,459.33607136727795,411.8215105565725
40,100.0,20,100.0,2.0,2.0,3,0,34.669247025942894,498.79533806064467,183.5757899808681
40,100.0,25,100.0,1.5,1.5,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,1.0,2.0,4,0,67.9750636012101,459.33607136727795,411.8215105565725
40,100.0,25,100.0,2.0,1.5,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,25,100.0,1.0,2.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,100.0,1.5,1.0,4,1,89.76357825290577,459.33607136727795,411.8215105565725
40,100.0,25,100.0,1.5,1.0,4,0,46.71416280889589,459.33607136727795,411.8215105565725
40,100.0,25,100.0,2.0,1.0,4,0,46.71416280889589,459.33607136727795,411.8215105565725
40,100.0,25,100.0,1.5,2.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,25,100.0,1.0,1.5,4,0,46.71416280889589,459.33607136727795,411.8215105565725
40,100.0,25,100.0,2.0,2.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,25,100.0,1.0,1.0,1,1,60.229965591032744,507.078922744844,189.28912608156344
40,100.0,30,100.0,1.5,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,30,100.0,1.0,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,25,100.0,1.5,1.5,4,0,46.71416280889589,459.33607136727795,411.8215105565725
40,100.0,25,100.0,2.0,1.5,4,0,46.71416280889589,459.33607136727795,411.8215105565725
40,100.0,30,100.0,2.0,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,25,100.0,1.0,1.0,0,1,79.20891057063065,463.7091657830143,173.94983411973146
40,100.0,30,100.0,1.0,1.5,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,25,100.0,1.5,1.0,1,1,88.98232668464676,507.078922744844,189.28912608156344
40,100.0,25,100.0,1.0,1.0,4,1,83.72440417646611,459.33607136727795,411.8215105565725
40,100.0,25,100.0,1.0,2.0,4,0,46.71416280889589,459.33607136727795,411.8215105565725
40,100.0,30,100.0,1.5,1.5,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,25,100.0,1.5,1.0,0,1,95.44989372997185,463.7091657830143,173.94983411973146
40,100.0,30,100.0,1.0,1.0,0,0,30.96724475595979,463.7091657830143,173.94983411973146
40,100.0,30,100.0,2.0,1.5,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,25,100.0,2.0,1.0,1,1,90.36345719096387,507.078922744844,189.28912608156344
40,100.0,25,100.0,2.0,2.0,4,0,46.71416280889589,459.33607136727795,411.8215105565725
40,100.0,30,100.0,1.0,2.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,30,100.0,1.0,1.0,1,0,36.836205661244506,507.078922744844,189.28912608156344
40,100.0,30,100.0,2.0,1.0,0,0,36.19637520111471,463.7091657830143,173.94983411973146
40,100.0,25,100.0,1.5,2.0,4,0,46.71416280889589,459.33607136727795,411.8215105565725
40,100.0,30,100.0,1.5,1.5,0,0,36.19637520111471,463.7091657830143,173.94983411973146
40,100.0,30,100.0,1.0,1.5,0,0,36.19637520111471,463.7091657830143,173.94983411973146
40,100.0,30,100.0,1.5,1.0,1,1,59.85360658360058,507.078922744844,189.28912608156344
40,100.0,30,100.0,1.5,2.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,30,100.0,1.5,1.5,3,0,41.924985771571976,498.79533806064467,183.5757899808681
40,100.0,30,100.0,2.0,2.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,30,100.0,1.0,1.5,3,0,41.924985771571976,498.79533806064467,183.5757899808681
40,100.0,30,100.0,1.5,1.5,4,0,45.954390354125636,459.33607136727795,411.8215105565725
40,100.0,30,100.0,1.0,1.5,4,0,45.954390354125636,459.33607136727795,411.8215105565725
40,100.0,30,100.0,2.0,1.5,0,0,36.19637520111471,463.7091657830143,173.94983411973146
40,100.0,30,100.0,2.0,1.0,1,0,57.652906173926745,507.078922744844,189.28912608156344
40,100.0,20,150.0,1.0,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,30,100.0,2.0,1.5,3,0,41.924985771571976,498.79533806064467,183.5757899808681
40,100.0,30,100.0,2.0,1.5,4,0,45.954390354125636,459.33607136727795,411.8215105565725
40,100.0,20,150.0,1.5,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,30,100.0,1.0,1.0,4,0,68.10090754773768,459.33607136727795,411.8215105565725
40,100.0,30,100.0,1.5,1.0,0,1,78.79836992317775,463.7091657830143,173.94983411973146
40,100.0,20,150.0,1.0,1.0,0,0,17.526212467670124,463.7091657830143,173.94983411973146
40,100.0,20,150.0,2.0,1.0,2,0,4.667740890007865,357.3820174025494,170.075846905503
40,100.0,20,150.0,1.5,1.0,0,0,17.526212467670124,463.7091657830143,173.94983411973146
40,100.0,20,150.0,1.0,1.0,1,0,25.47424231807804,507.078922744844,189.28912608156344
40,100.0,20,150.0,1.5,1.0,1,0,25.47424231807804,507.078922744844,189.28912608156344
40,100.0,30,100.0,1.5,1.0,4,1,94.27911030938323,459.33607136727795,411.8215105565725
