sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,n_runs,convergence_rate,mean_ct,std_ct,median_ct,mean_victims
100.0,18,50.0,2.0,3.5,10,0.7,56.38094031491956,15.34348570832179,60.364790024950025,4.4
100.0,18,50.0,2.0,4.0,10,0.8,58.98110510154694,22.197102001744874,55.8974975007869,4.8
100.0,18,50.0,2.5,1.0,10,1.0,58.673434457885776,23.440732167412172,52.833728782859154,5.0
100.0,18,50.0,2.5,1.5,10,0.9,53.84307881998195,14.009476620261959,56.57925336742351,4.8
100.0,18,50.0,2.5,2.0,10,1.0,72.78412444100236,38.72222037763657,61.1973500773394,5.0
100.0,18,50.0,2.5,2.5,10,1.0,55.30647384239561,11.839099674094278,54.34957293693164,5.0
100.0,18,50.0,2.5,3.0,10,0.8,57.51186631726287,13.241430248736254,60.32543126561833,4.4
100.0,18,50.0,2.5,3.5,10,1.0,62.32859182438399,18.220208457279792,60.32543126561833,5.0
100.0,18,50.0,2.5,4.0,10,0.9,65.86643179133236,30.050934761413505,59.51894362702689,4.9
100.0,18,75.0,0.5,1.0,10,1.0,77.68635385787074,39.49819492147122,64.67604030637838,5.0
100.0,18,75.0,0.5,1.5,10,1.0,72.71647743048847,29.69728129571226,59.04321153129848,5.0
100.0,18,75.0,0.5,2.0,10,0.9,59.635991317754716,5.908465934808853,59.33386777153801,4.8
100.0,18,75.0,0.5,2.5,10,1.0,65.66639634030307,13.31696503730842,61.166933885769005,5.0
100.0,18,75.0,0.5,3.0,10,1.0,72.7763874382612,25.92912453974927,65.34844876552407,5.0
100.0,18,75.0,0.5,3.5,10,1.0,72.75628033179734,21.231338103884735,71.26549640253725,5.0
100.0,18,75.0,0.5,4.0,10,1.0,74.62396225650707,22.42795825877931,71.26549640253725,5.0
100.0,18,75.0,1.0,1.0,10,0.9,68.18392359951,27.954294975181742,56.71464055871376,4.9
100.0,18,75.0,1.0,1.5,10,1.0,62.58792929880504,22.426905263706352,57.876277645529484,5.0
100.0,18,75.0,1.0,2.0,10,1.0,63.40698909883643,20.594851929803575,59.04321153129848,5.0
100.0,18,75.0,1.0,2.5,10,1.0,75.23494787303746,31.509283963232544,61.24988624875583,5.0
100.0,18,75.0,1.0,3.0,10,1.0,77.25075868873304,27.37048749784117,70.81345143570849,5.0
100.0,18,75.0,1.0,3.5,10,1.0,74.004115670182,21.75524487575718,70.7276069031976,5.0
100.0,18,75.0,1.0,4.0,10,1.0,74.51638435663915,22.468304367794733,70.7276069031976,5.0
